,key,key confidence,duration,hotness,energy,loudness,tempo,mode,mode_confidence,danceability,year,album,artist name,title
66,4,0.093,144.50893,0.5542914890128156,0.0,-7.787,152.622,0,0.423,0.0,1992,White Trash ......,NOFX,Stickin In My Eye
67,7,0.379,285.17832,0.26803783963074496,0.0,-8.488,110.787,1,0.401,0.0,0,Murskapunkkia,Murskahumppa,Ota kiinni
68,7,0.161,246.69995,0.46682699252718746,0.0,-9.603,112.903,1,0.205,0.0,1990,Canción Animal,Soda Stereo,Entre Caníbales
69,7,0.469,84.03546,0.3004544598123077,0.0,-26.266,115.642,1,0.591,0.0,1985,The Man from Snowy River,Bruce Rowland,Rosemary Recalls
70,1,0.652,273.52771,0.26627528554651025,0.0,-6.305,125.013,1,0.694,0.0,2000,One World One People,Xcultures,Sudanese Dance
71,5,0.596,298.84036,0.33750728916593725,0.0,-9.998,113.277,1,0.567,0.0,0,Tales Of Wonder,White Heart,Where The Thunder Roars (Tales Of Wonder Album Version)
72,5,0.665,161.38404,0.36366811024462387,0.0,-9.161,96.979,0,0.606,0.0,1997,Waterbed Hev,Heavy D / McGruff,Wanna Be A Player
73,8,0.455,209.29261,0.5799889824287546,0.0,-4.865,140.995,1,0.48,0.0,0,The Best Of Both Worlds,Van Halen,Panama (Remastered Album Version)
74,11,0.205,229.61587,1.0059419659547393,0.0,-4.882,105.206,0,0.332,0.0,2004,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Black Eyed Peas,Let's Get It Started
75,0,0.05,426.89261,0.5984585009824434,0.0,-12.951,63.017,0,0.395,0.0,2000,Things Falling Apart,Nine Inch Nails,Metal
76,9,0.052,269.26975,0.47940767557514763,0.0,-11.751,144.603,0,0.142,0.0,0,Your Funeral... My Trial (2009 Digital Remaster),Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster)
77,2,0.883,249.41669,0.13924739387110993,0.0,-6.693,167.92,1,0.728,0.0,0,Oasis of Love,Nadine Renee,Next Time
78,9,0.386,136.48934,0.3891007762801808,0.0,-9.091,129.122,1,0.632,0.0,1963,60's Triple set,Lesley Gore,It's My Party
79,0,0.53,233.27302,0.3224851056611973,0.0,-2.658,132.022,1,0.501,0.0,2001,Yeah.  Well_ Anyway....,Smartbomb,Complicate It
80,1,0.842,187.24526,0.3356518391847009,0.0,-4.42,183.92,1,0.721,0.0,2005,Un Titre de Toune,Suburbs,Monde De Fou
81,9,0.0,72.61995,0.45339118607533013,0.0,-11.051,89.867,0,0.0,0.0,0,Live Inferno,Emperor,Opus a Satana (Part 2)
82,2,0.633,272.63955,0.36438492446826576,0.0,-9.97,119.896,1,0.605,0.0,0,Vendredi 13 - 1981,Julien Clerc,This Melody (Live)
83,1,0.62,142.75873,0.4810242392118726,0.0,-11.335,137.29,0,0.814,0.0,0,Unconditional Love,Glen Campbell,I'm Gone This Time
84,5,1.0,194.11546,0.34328188178708335,0.0,-15.581,82.343,1,0.886,0.0,2002,The Very Best Of,T.G. Sheppard,You Feel Good All Over
85,3,0.883,195.91791,0.38666909170602387,0.0,-11.98,91.487,1,0.735,0.0,1990,Country Lovers. Vol. 3,Slim Whitman,Indian Love Call
86,9,0.0,118.33424,0.5380702951237828,0.0,-11.215,84.69,0,0.0,0.0,1999,Affirmation,Savage Garden,You Can Still Be Free
87,2,0.08,288.41751,0.5524133455169445,0.0,-8.165,115.606,1,0.665,0.0,2005,Lullabies To Paralyze,Queens Of The Stone Age,I Never Came
88,7,0.278,123.21914,0.3475988886835368,0.0,-12.69,126.523,0,0.482,0.0,0,It's War Again,Hank Penny & The Lincoln Penny Orchestra,Dixie
89,2,0.823,283.76771,0.39854753538058046,0.0,-8.7,113.677,1,0.69,0.0,1990,The Singles,Inspiral Carpets,Commercial Reign
90,2,0.569,239.3073,0.4214151025424071,0.0,-5.758,86.938,1,0.601,0.0,0,What You Thought You Heard,Borialis,Hourglass
91,0,0.613,206.75873,0.40418220665370436,0.0,-4.907,141.936,1,0.656,0.0,0,Daddy Don't Disco,The Dirty Skirts,Wake
92,11,0.847,134.81751,0.3135693426838017,0.0,-8.133,106.049,1,0.646,0.0,0,15 Exitos Vol. 2 Flor Silvestre,Flor Silvestre,Caricia Y Herida
93,8,0.508,285.64853,0.1489854809922737,0.0,-9.093,126.88,1,0.343,0.0,0,Le top du père Nöel,Bézu,Le tortillard
94,1,0.074,124.18567,0.49356684269655965,0.0,-10.296,85.008,0,0.492,0.0,2001,Malpractice,Redman,WKYA (drop)
95,4,0.718,134.08608,0.3178109598122704,0.0,-12.839,133.699,0,0.674,0.0,0,20 Suosikkia / Rilluttele yö,Solistiyhtye Suomi,Teräslintu
96,11,0.599,155.61098,0.33109012633891616,0.0,-13.71,118.975,1,0.517,0.0,0,The Fabulous Eddie Cantor,Eddie Cantor,Now's The Time To Fall In Love
97,9,0.376,275.40853,0.34919221761645924,0.0,-2.119,102.408,1,0.334,0.0,0,Grim Prospects Remixes - Grim Prospects Will Never End,Schizoid,Grim Prospects (Gross Prospects - Bad Trip Remix)
98,0,0.0,223.4771,0.3163540008222974,0.0,-14.438,112.006,1,0.138,0.0,1961,The Incredible Kai Winding Trombones,Kai Winding,Mangos
99,1,0.0,443.24526,0.317833879200262,0.0,-13.002,45.527,1,0.051,0.0,0,Staying on the Watch,Sonny Simmons,A Distant Voice
100,4,0.695,177.81506,0.34575124701970267,0.0,-12.004,85.621,1,0.673,0.0,2006,Openbare Weg,Mira,Openbare Weg
101,8,0.822,385.33179,0.27756173775343046,0.0,-8.37,108.061,0,0.503,0.0,2000,Tip World Singles 2000,Citizen Kaned,President Johnson
102,7,0.558,324.44036,0.4320119468576032,0.0,-11.829,216.195,1,0.718,0.0,1995,Praise Him...Live!,The Brooklyn Tabernacle Choir,Lead Me Lord
103,7,0.699,275.12118,0.3251485709173023,0.0,-6.29,132.428,1,0.527,0.0,0,Spontanous Combustion,Ellen McIlwaine,Spontanous Combustion
104,5,0.238,294.66077,0.4148926124367487,0.0,-15.761,168.307,0,0.07,0.0,0,From All Sides,Vince Guaraldi / Bola Sete,Choro
105,0,0.371,193.20118,0.3915853290262099,0.0,-27.433,140.956,1,0.484,0.0,0,Maurice Chevalier  The Essential Collection Vol 1,Maurice Chevalier,Ma Louise
106,1,0.485,357.82485,0.38418425849676846,0.0,-5.701,130.016,1,0.427,0.0,1991,Dave Pearce Best of the Dance Years 1988 - 1992,Carl Cox Vs Yousef,I Want You (Forever)
107,11,0.306,198.3473,0.4126716309926985,0.0,-8.709,175.769,0,0.22,0.0,1997,The Equinox,Organized Konfusion,Hate
108,7,0.96,261.95546,0.6282464191914875,0.0,-13.627,100.194,1,0.634,0.0,2005,Timeless,Martina McBride,I Can't Stop Loving You
109,2,0.171,176.27383,0.3742711738564048,0.0,-11.479,151.911,1,0.239,0.0,1985,Feel Good All Over: Anthology 1970-1976,Horace Andy,Thank You Lord
110,9,0.606,220.89098,0.3841464443048954,0.0,-6.302,119.691,1,0.475,0.0,0,13th And Pine,Nazz,How Can You Call That Beautiful (Stewkey Vocal)
111,10,0.46,235.91138,0.3932151037866921,0.0,-10.466,161.976,1,0.379,0.0,0,Call Tyrone,Tyrone Davis,Cheatin' In The Next Room
112,0,0.601,239.59465,0.40517835890761195,0.0,-9.275,172.398,1,0.563,0.0,1971,Final Vinyl,Hot Tuna,Candy Man
113,2,0.45,171.49342,0.28404740990087485,0.0,-37.398,109.823,1,0.685,0.0,0,Fifteen Poems By Dylan Thomas,Richard Burton,I See The Boys Of Summer
114,1,0.936,266.05669,0.34318504527257115,0.0,-13.836,90.101,1,0.763,0.0,0,The Early Tapes 1975-1976,Rory Block,Three Is a Crowd
115,8,0.497,329.27302,0.6011849417940898,0.0,-7.103,116.473,1,0.491,0.0,1994,Legacy,Boyz II Men,On Bended Knee
116,9,0.0,198.922,0.0,0.0,-13.495,126.821,0,0.094,0.0,0,Louie Bluie Film Soundtrack,Howard Armstrong,My Four Reasons
117,2,0.499,283.21914,0.4224724232432197,0.0,-15.144,111.191,1,0.652,0.0,1971,Donny Hathaway,Donny Hathaway,Little Girl (LP Version)
118,5,0.458,238.68036,0.33510142487208283,0.0,-12.991,125.508,1,0.542,0.0,0,Canciones De Amor De Miguel Gallardo,Miguel Gallardo,Eternamente Amame
119,4,0.446,254.06649,0.4379647331417924,0.0,-6.01,137.888,0,0.383,0.0,1999,Irfan_ le héros,Les Ogres De Barback,Niev nietch nievitch
120,6,0.0,184.31955,0.28128421554929817,0.0,-5.58,150.012,0,0.0,0.0,0,What up Detroit,DJ X-Change featuring DJ Joey A,Come Over
121,10,0.685,311.40526,0.3340657898380008,0.0,-4.313,108.367,1,0.611,0.0,0,Peterbilt Angel,Morel,Blue Taxi
122,2,0.243,162.53342,0.4035096733630853,0.0,-17.285,173.482,1,0.297,0.0,0,Homemade Ice-Cream,Tony Joe White,I Want Love (Tween You & Me) (Album Version)
123,4,0.372,212.37506,0.5669715662185826,0.0,-5.931,110.745,0,0.207,0.0,2009,White Feather,Wolfmother,White Feather
124,2,0.626,338.33751,0.37225120793006455,0.0,-14.248,130.027,0,0.575,0.0,1995,Can We Go Home Now,The Roches,Christlike Roche
125,11,0.228,126.51057,0.3268488180257514,0.0,-12.651,110.168,1,0.374,0.0,0,In North Carolina,Bob Margolin,You Rascal You
126,9,0.825,205.58322,0.0,0.0,-16.056,97.976,0,0.836,0.0,0,Wintertime,Thomas Battenstein,Sympathy
127,0,0.373,193.4624,0.3631778606591337,0.0,-5.913,119.979,0,0.548,0.0,2007,Electropop,Jupiter Rising,They Say (Album)
128,6,0.81,127.4771,0.3458094431841164,0.0,-5.541,156.968,1,0.864,0.0,0,DUMB: 4-track cassette recordings (1987),Dharma Bums,Simon's Folly
129,5,0.172,234.762,0.3189020778687955,0.0,-6.019,188.886,1,0.026,0.0,1999,The Hit List,Saafir,Crawl Before You Ball (Album Version)
130,9,0.295,292.8322,0.4983953383497739,0.0,-4.953,133.306,1,0.196,0.0,2001,Underneath,The Verve Pipe,Medicate Myself
131,4,0.965,241.10975,0.30150246185842855,0.0,-18.114,152.267,1,0.744,0.0,1990,99 Monkeys,Bob Neuwirth,Biding Her Time
132,1,0.33,270.68036,0.4596654567282773,0.0,-11.061,166.275,1,0.526,0.0,0,Nothing Else Matters,Marvin Sapp,More And More  (LP Version)
133,2,0.862,188.73424,0.4315269192148132,0.0,-7.04,114.971,1,1.0,0.0,0,A Tribute to The American Horse,James Hunter,Cowboy Ways
134,9,0.519,211.80036,0.32188268994567615,0.0,-15.358,144.651,0,0.525,0.0,0,Mis Momentos,Nelson Ned,Brasas Vivas
135,2,0.64,254.32771,0.351210536532264,0.0,-11.213,152.005,1,0.692,0.0,0,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,Mish Mash,Kolomeyke
136,1,0.645,210.36363,0.27345372725278577,0.0,-5.904,155.074,0,0.683,0.0,2009,In this Life,Cama,In This Life
137,10,0.683,301.81832,0.44689072654931333,0.0,-8.095,61.971,0,0.549,0.0,1991,Best Of Maxi Priest,Maxi Priest,Groovin' In The Midnight
138,6,0.644,416.80934,0.5079658021593736,0.0,-7.982,124.04,0,0.607,0.0,1997,Signify (Special Edition),Porcupine Tree,Waiting
139,7,0.056,413.36118,0.4249318351787764,0.0,-8.804,191.196,0,0.306,0.0,0,Bravo Alayki Rare recording,Ragheb Alama,A'chek Ouyounik (2009 Digital Remaster)
140,7,0.458,117.002,0.5507620846559074,0.0,-5.699,152.127,1,0.44,0.0,2005,In Your Honor,Foo Fighters,Hell
141,10,0.805,217.36444,0.6822631767638205,0.0,-5.152,100.023,0,0.688,0.0,0,Essential R&B Hit Selection,Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean)
142,10,0.0,122.72281,0.42251494013072466,0.0,-9.965,192.688,1,0.149,0.0,0,20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,The Avengers,Juoksuhauta-twist (Elämä juoksuhaudoissa)
143,11,0.236,203.98975,0.3838774936335668,0.0,-11.976,154.322,0,0.384,0.0,1988,Talk To Your Daughter,Robben Ford,I Got Over It (Album Version)
144,5,0.084,192.44363,0.3394084863551408,0.0,-10.229,236.006,1,0.405,0.0,0,American Songbook - Bacharach,Brazilian Tropical Orchestra,One Less Bell To Answer
145,11,0.321,285.36118,0.3828699558929602,0.0,-6.284,150.666,1,0.421,0.0,0,Nha Vitória,Gil Semedo,Festa
146,11,0.0,225.12281,0.46682699252718746,0.0,-3.818,175.421,0,0.036,0.0,1984,Gira Me Verás Volver,Soda Stereo,Te Hacen Falta Vitaminas
147,9,0.138,123.66322,0.32138373011129995,0.0,-4.633,104.153,0,0.452,0.0,0,Scarcity,Xmilk,Sense And Trick
148,11,0.386,525.16526,0.33708930033210055,0.0,-5.602,127.278,0,0.417,0.0,0,Fire,Dolce; Oscar G.,Fire (Oscar G Space Vocal Mix)
149,6,0.606,204.06812,0.544446276903691,0.0,-5.157,160.165,1,0.514,0.0,0,Hanging On (Premiere Performance Plus Track),Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals)
150,5,0.441,166.00771,0.34919221761645924,0.0,-1.925,86.091,1,0.372,0.0,0,Grim Prospects Remixes - Prospects Are Getting Grimmer,Schizoid,Grim Prospects (Version 2 Remix)
151,0,0.782,219.01016,0.555968803751809,0.0,-5.21,149.94,1,0.662,0.0,2001,Snowflakes,Toni Braxton Featuring Shaggy,Christmas In Jamaica
152,0,0.655,127.9473,0.35032760522744555,0.0,-12.717,135.78,1,0.525,0.0,2001,The Out Sound From Way In!,Perrey And Kingsley,Gossippo Perpetuo
153,7,0.792,570.90567,0.30660364129709755,0.0,-12.28,122.967,1,0.646,0.0,0,El Fuego De Dentro,Sven Tasnadi,2190 Dias Contigo
154,9,0.858,230.00771,0.36223874670184913,0.0,-9.748,142.024,1,0.606,0.0,0,No Control,Eddie,No Control
155,2,0.735,240.74404,0.39570954770762196,0.0,-4.878,135.535,0,0.838,0.0,2010,Pentagrammaton,Enthroned,The Vitalized Shell
156,2,0.523,192.20853,0.3807045358244573,0.0,-23.988,139.189,1,0.537,0.0,1989,Pianissimo,Suzanne Ciani,Mozart
157,8,0.656,152.0322,0.0,0.0,-9.414,128.598,1,0.393,0.0,0,Milan Milan,Milan Band,Ciao Milan
158,3,0.445,215.30077,0.40913486879748406,0.0,-9.741,163.445,0,0.496,0.0,2004,Auralux Reggae Showcase,Johnny Osbourne,Lend Me Your Chopper
159,7,0.0,155.21914,0.6038764869181625,0.0,-11.965,114.027,0,0.181,0.0,1971,Heaven,Dolly Parton,Letter To Heaven
160,7,0.662,207.12444,0.3140117898326241,0.0,-12.779,111.316,1,0.756,0.0,0,Up Above My Head,Rance Allen Group,Heaven is Where The Heart Is
161,4,0.743,428.56444,0.6079718095629023,0.0,-8.403,105.994,0,0.727,0.0,2006,Pearl Jam,Pearl Jam,Inside Job
162,8,0.015,185.7824,0.5077816674051294,0.0,-13.251,88.489,1,0.236,0.0,0,Take A Look,Natalie Cole,Take A Look  (LP Version)
163,7,0.539,654.28853,0.5742747305168561,0.0,-5.884,118.433,0,0.617,0.0,2009,Crack The Skye,Mastodon,The Czar: Usurper/Escape/Martyr/Spiral (Album Version)
164,11,0.0,306.72934,0.433945513830991,0.0,-6.929,96.007,1,0.232,0.0,0,Behind The Blue,Kiril Valeri,Bulgarian Dream
165,9,0.457,229.51138,0.24634071356237247,0.0,-4.198,187.807,1,0.398,0.0,0,Matumago X Press,Word,Amalgama
166,7,0.025,205.58322,0.41339391128749997,0.0,-6.998,181.115,0,0.312,0.0,1991,The Best of DJ Quik - Da Finale,DJ Quik,Born and Raised In Compton
167,2,0.826,127.05914,0.3794369722404727,0.0,-12.772,148.357,1,0.936,0.0,0,RCA Country Legends,Hank Locklin,We're Gonna Go Fishin'
168,1,0.0,44.35546,0.5122267383177268,0.0,-18.147,136.164,0,0.0,0.0,0,LOOK (Original Motion Picture Soundtrack),BT,Robbers Kill Cop
169,4,0.648,203.83302,0.4269442562357665,0.0,-7.661,126.941,0,0.629,0.0,2009,Relax,2-4 Grooves feat. Reki D.,Relax
170,5,0.526,176.50893,0.28356259598084455,0.0,-17.308,159.582,1,0.595,0.0,0,Joy In Our Hearts - The Gospel Side Of The Jordanaires,The Jordanaires,Sweet By And By
171,6,0.006,140.66893,0.4765593789777819,0.0,-28.347,89.495,0,0.127,0.0,1986,Enjoy!,Descendents,Orgofart
172,5,0.608,201.09016,0.45694055844157816,0.0,-2.869,102.259,0,0.505,0.0,1988,A Nite On The Strip - Live,L.A. Guns,Bitch Is Back
173,10,0.647,254.79791,0.3605835821516753,0.0,-7.309,107.529,1,0.54,0.0,1998,Boo-Tay,Bare Jr.,Naked Albino
174,0,0.675,143.0722,0.3701947010583135,0.0,-15.351,99.408,1,0.353,0.0,0,The Best Of Shelley Fabares [Digital Version],Shelley Fabares,Johnny Loves Me (LP Version)
175,9,0.753,163.49995,0.2506012864465103,0.0,-25.694,79.731,1,0.629,0.0,0,In London_ In Love,Norrie Paramor,Dearly Beloved
176,0,0.403,289.64526,0.38976551809145177,0.0,-9.435,188.502,1,0.578,0.0,0,Of My Times,Gary Hobbs,The Look Of Love
177,11,0.724,124.15955,0.37668863102209926,0.0,-4.793,133.729,1,0.583,0.0,1998,Venus Envy,Diesel Boy,Cooler Than You
178,4,0.694,167.3922,0.39945172400502926,0.0,-17.623,139.136,0,0.591,0.0,0,Freddy's Favorites: The Best of A Nightmare On Elm Street,Angelo Badalamenti,Taryns Deepest Fear
179,2,0.341,321.35791,0.5725833363950456,0.0,-6.2,193.693,0,0.369,0.0,1994,Bitter Suites to Succubi,Cradle Of Filth,Summer Dying Fast
